epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,15813.5,0.57717,0.34318,1.5722,0.93769,0.7977,0.88269,0.70433,0.6516,0.40271,1.67041,0.00146455,0.00146455,0.00146455
66,13749.3,0.61956,0.37871,1.62016,0.93727,0.79893,0.88265,0.70313,0.65319,0.39448,1.66905,0.00273012,0.00273012,0.00273012
65,13542.7,0.62625,0.38251,1.62731,0.93611,0.79946,0.8826,0.7031,0.65372,0.39421,1.66943,0.00287117,0.00287117,0.00287117
62,12924.2,0.63377,0.38762,1.63774,0.93685,0.79959,0.8825,0.70197,0.6556,0.39333,1.67096,0.00330638,0.00330638,0.00330638
80,16637.1,0.55635,0.32464,1.54982,0.93644,0.79549,0.88245,0.70406,0.6535,0.41144,1.67519,0.00104931,0.00104931,0.00104931
95,1388.9,0.53487,0.30401,1.53223,0.93749,0.7944,0.88245,0.7045,0.65667,0.41307,1.68021,8.86629e-05,8.86629e-05,8.86629e-05
61,12717.8,0.64032,0.3951,1.64328,0.93842,0.79852,0.88244,0.7018,0.65605,0.39339,1.67093,0.00345498,0.00345498,0.00345498
63,13130,0.63326,0.39094,1.63736,0.93646,0.8,0.88244,0.70205,0.65518,0.3936,1.67072,0.00315945,0.00315945,0.00315945
60,12511.3,0.6412,0.39555,1.64569,0.9379,0.79844,0.8824,0.70171,0.65653,0.39326,1.67099,0.00360511,0.00360511,0.00360511
58,12097,0.64926,0.40083,1.65203,0.93859,0.79844,0.88238,0.70097,0.65775,0.39359,1.67189,0.00390934,0.00390934,0.00390934
59,12304.3,0.64531,0.39936,1.65085,0.93686,0.79863,0.88238,0.70129,0.65678,0.39329,1.6711,0.00375661,0.00375661,0.00375661
64,13336,0.62718,0.38403,1.62864,0.93545,0.79984,0.88229,0.70234,0.65448,0.3938,1.67001,0.00301433,0.00301433,0.00301433
94,1190.19,0.53544,0.30365,1.5338,0.93819,0.79267,0.88228,0.70442,0.65704,0.41585,1.68143,0.000120515,0.000120515,0.000120515
81,16843.5,0.55293,0.32275,1.5455,0.93775,0.79355,0.88218,0.70403,0.65404,0.4142,1.67657,0.000955005,0.000955005,0.000955005
93,992.295,0.53821,0.30689,1.53696,0.93644,0.79309,0.88192,0.70387,0.65762,0.41897,1.68285,0.000157183,0.000157183,0.000157183
82,17050,0.5477,0.31724,1.53943,0.93695,0.7926,0.88173,0.70347,0.65482,0.41676,1.67836,0.000864688,0.000864688,0.000864688
83,17256.3,0.54245,0.31349,1.53478,0.93809,0.79185,0.88173,0.70325,0.6557,0.41971,1.68037,0.000778453,0.000778453,0.000778453
92,794.437,0.54119,0.30905,1.54051,0.93682,0.7933,0.88169,0.70367,0.65821,0.42199,1.68434,0.00019863,0.00019863,0.00019863
57,11890.2,0.65257,0.40258,1.65739,0.93755,0.7977,0.88162,0.70061,0.65829,0.39355,1.67221,0.00406315,0.00406315,0.00406315
56,11683,0.65506,0.40578,1.65785,0.93784,0.79728,0.8816,0.70035,0.65908,0.39339,1.67272,0.00421789,0.00421789,0.00421789
91,596.48,0.54711,0.31151,1.5446,0.93733,0.79185,0.88154,0.70309,0.65883,0.42546,1.68594,0.000244815,0.000244815,0.000244815
55,11476.3,0.65763,0.41046,1.66488,0.93876,0.79679,0.88152,0.70048,0.65936,0.39368,1.67281,0.00437339,0.00437339,0.00437339
