epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,17823.3,0.55763,0.33445,1.41722,0.93455,0.80099,0.88214,0.69726,0.67959,0.43361,1.53141,0.00170175,0.00170175,0.00170175
75,18052.8,0.55033,0.32763,1.41247,0.93395,0.80064,0.88204,0.69757,0.68006,0.43571,1.53267,0.00158569,0.00158569,0.00158569
76,18281.8,0.54575,0.32302,1.41043,0.93615,0.79768,0.88164,0.6975,0.68099,0.43819,1.53448,0.001473,0.001473,0.001473
77,18513.5,0.53867,0.31875,1.40813,0.93689,0.79671,0.88206,0.69753,0.68168,0.44077,1.53585,0.0013638,0.0013638,0.0013638
78,18743.4,0.53181,0.31443,1.40313,0.93779,0.79547,0.88174,0.6973,0.6825,0.44342,1.53755,0.0012582,0.0012582,0.0012582
79,18972,0.52499,0.309,1.39957,0.93533,0.79751,0.88211,0.69713,0.68346,0.4462,1.53923,0.00115629,0.00115629,0.00115629
80,19200.9,0.51879,0.30332,1.39665,0.93299,0.79868,0.88174,0.69696,0.68468,0.44889,1.54121,0.00105818,0.00105818,0.00105818
81,19429.4,0.51191,0.29765,1.39078,0.93251,0.7983,0.88155,0.69656,0.68603,0.45225,1.54294,0.00096396,0.00096396,0.00096396
82,19657.1,0.50585,0.29207,1.38887,0.93273,0.79778,0.88161,0.69671,0.68743,0.4558,1.54476,0.000873733,0.000873733,0.000873733
83,19885.7,0.49983,0.28868,1.3849,0.93173,0.79663,0.88148,0.69702,0.68906,0.45869,1.54692,0.000787582,0.000787582,0.000787582
84,20114,0.49275,0.28213,1.38165,0.93277,0.79474,0.88135,0.69699,0.69072,0.46139,1.54888,0.000705594,0.000705594,0.000705594
85,20341.7,0.48702,0.27794,1.37854,0.93296,0.79391,0.8811,0.69679,0.69239,0.46407,1.55101,0.000627848,0.000627848,0.000627848
86,20569.1,0.48171,0.27264,1.37391,0.93136,0.79401,0.88085,0.69708,0.69368,0.46641,1.55259,0.000554422,0.000554422,0.000554422
87,20797.2,0.47409,0.26784,1.37306,0.93256,0.79366,0.88107,0.69729,0.69482,0.46773,1.55389,0.000485389,0.000485389,0.000485389
88,21023.6,0.46875,0.26341,1.36991,0.93264,0.79429,0.88144,0.69741,0.69599,0.46856,1.55509,0.000420816,0.000420816,0.000420816
89,21251.1,0.46351,0.25915,1.36536,0.93203,0.7945,0.88174,0.69774,0.69698,0.46907,1.55625,0.000360766,0.000360766,0.000360766
90,21478,0.45859,0.25513,1.36447,0.93357,0.79432,0.88199,0.69795,0.69754,0.46872,1.55666,0.000305301,0.000305301,0.000305301
91,21704.8,0.45302,0.25173,1.3622,0.93339,0.79348,0.88201,0.69813,0.69797,0.46746,1.5572,0.000254473,0.000254473,0.000254473
92,21931.5,0.45014,0.2481,1.35974,0.93676,0.79259,0.88275,0.69852,0.69796,0.46565,1.55733,0.000208333,0.000208333,0.000208333
93,22157.1,0.44511,0.24462,1.35767,0.93572,0.79428,0.88348,0.69945,0.69787,0.46299,1.55692,0.000166927,0.000166927,0.000166927
94,22383.1,0.44304,0.24278,1.357,0.93608,0.79506,0.88389,0.6999,0.69753,0.45956,1.55647,0.000130296,0.000130296,0.000130296
95,22609.7,0.43979,0.23937,1.35538,0.93548,0.79593,0.88437,0.7004,0.69719,0.45583,1.55638,9.84752e-05,9.84752e-05,9.84752e-05
96,22836,0.43597,0.23726,1.35332,0.93463,0.79783,0.88513,0.70139,0.6966,0.45169,1.55593,7.14967e-05,7.14967e-05,7.14967e-05
97,23062.8,0.43343,0.23505,1.35171,0.9336,0.7997,0.88573,0.70238,0.69601,0.44708,1.55553,4.93871e-05,4.93871e-05,4.93871e-05
98,23288.5,0.43259,0.23405,1.35189,0.93466,0.79984,0.8863,0.70325,0.69564,0.44206,1.55536,3.2168e-05,3.2168e-05,3.2168e-05
99,23514.2,0.4321,0.23348,1.35131,0.93497,0.80025,0.88683,0.704,0.69518,0.4373,1.55515,1.98565e-05,1.98565e-05,1.98565e-05
100,23739.5,0.42996,0.23267,1.35086,0.93733,0.79926,0.88758,0.70512,0.69484,0.43233,1.5552,1.24647e-05,1.24647e-05,1.24647e-05
